Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES
14298,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,08.446.503/0001-05,Privada com fins lucrativos,23162,Centro de Ensino Superior de Contagem,-,(31) 3319-9226,,regulatorio@animaeducacao.com.br,Avenida João César de Oliveira - 5775 - CEP: 32040-000 - Beatriz,Contagem,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2020-11-05,5,2019,-,,-,,,,"Credenciamento Prévio, Em Descredenciamento voluntário, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI, Vedação de criação de cursos de especialização Lato Sensu",Ativa
14298,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,08.446.503/0001-05,Privada com fins lucrativos,23164,Centro de Ensino Superior de Divinópolis,-,(31) 3319-9226,,regulatorio@animaeducacao.com.br,Rua Coronel João Notini - 151 - CEP: 35500-017 - Centro,Divinópolis,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2019-07-04,4,2019,-,,-,,,,"Credenciamento Prévio, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI, Vedação de criação de cursos de especialização Lato Sensu",Ativa
1804,CESUPI CENTRO DE ENSINO SUPERIOR DE ILHEUS LTDA - ME,04.245.712/0001-21,Privada com fins lucrativos,2771,CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI),CESUPI,(73) 2101-1700,www.faculdadedeilheus.com.br,milanesi@faculdadedeilheus.com.br,Avenida Tancredo Neves - s/n - CEP: 45655-120 - São Francisco,Ilhéus,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2002-07-19,4,2016,-,,3,2019,,,,Ativa
511,ASSOCIACAO JATAIENSE DE EDUCACAO,00.079.285/0001-06,Privada com fins lucrativos,755,CENTRO DE ENSINO SUPERIOR DE JATAÍ (CESUT),CESUT,(64) 2102-1050,www.cesut.edu.br,cesut@cesut.edu.br,Rua Santos Dumont - 1.200 - CEP: 75804-045 - Setor Oeste,Jataí,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,1985-03-13,3,2018,-,,3,2019,,,,Ativa
16817,SOCIEDADE EDUCACIONAL SANTO ANTONIO LTDA,19.498.813/0001-81,Privada com fins lucrativos,24024,Centro de Ensino Superior de Lorena,-,(12) 99620.3344,,lima.neto@asesi.edu.br;lima.neto@faculdadeserradourada.com.br,Estrada Chiquito de Aquino - 46 - CEP: 12612-550 - Santa Lucrécia,Lorena,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2020-09-03,4,2020,-,,-,,,,,Ativa
14298,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,08.446.503/0001-05,Privada com fins lucrativos,23174,Centro de Ensino Superior de Nova Serrana,-,31 3319-9226,,"regulatorio@animaeducacao.com,br",BR 262 - KM 448 - s/nº - CEP: 35519-000 - Anexo Distrito Industrial José Silva de Almeida,Nova Serrana,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2019-07-04,4,2019,-,,-,,,,"Credenciamento Prévio, Em Descredenciamento voluntário, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI, Vedação de criação de cursos de especialização Lato Sensu",Ativa
770,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,37.174.034/0001-02,Privada sem fins lucrativos,21892,CENTRO DE ENSINO SUPERIOR DE PALMAS (CESUP),CESUP,(63)99282-1986,www.cesup.edu.br,pesquisador@ceuma.br;diretoria@cesup.edu.br;ntae@ceuma.br,Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n - CEP: 77024-002 - Plano Diretor Sul,Palmas,TO,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2018-05-23,4,2017,-,,-,,,,,Ativa
16817,SOCIEDADE EDUCACIONAL SANTO ANTONIO LTDA,19.498.813/0001-81,Privada com fins lucrativos,24025,Centro de Ensino Superior de Serra Dourada,-,(12) 999620.3344,,lima.neto@asesi.edu.br;lima.neto@faculdadeserradourada.com.br,Estrada Chiquito de Aquino - 46 - CEP: 12612-550 - Santa Lucrécia,Lorena,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2020-12-31,4,2019,-,,-,,,,,Ativa
14298,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,08.446.503/0001-05,Privada com fins lucrativos,23178,Centro de Ensino Superior de Sete Lagoas,-,,,regulatorio@animaeducacao.com.br,Avenida Secretário Divino Padrão - 1411 - CEP: 35702-075 - Santo Antônio,Sete Lagoas,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2019-07-04,5,2019,-,,-,,,,"Credenciamento Prévio, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI, Vedação de criação de cursos de especialização Lato Sensu",Ativa
794,UNIAO CAPIXABA DE ENSINO SUPERIOR LTDA - UCES,36.347.508/0001-08,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1159,CENTRO DE ENSINO SUPERIOR DE VITÓRIA (CESV),CESV,(27) 3041 0111,cesv.br,cesv@cesv.br,Rua Doutor Eurico de Aguiar - 1003 - CEP: 29056-205 - Santa Lúcia,Vitória,ES,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,1998-07-29,3,2015,-,,2,2019,,,,Ativa
600,ASSOCIACAO AMAPAENSE DE ENSINO E CULTURA,04.661.922/0001-09,Privada com fins lucrativos,861,CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP),CEAP,(96) 3261 2133 / (96)98133-0129,www.ceap.br,ceap@ceap.br,Rodovia de Duca Serra - s/n - CEP: 68906-698 - Alvorada,Macapá,AP,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1990-01-18,3,2014,3,2015,3,2019,,,,Ativa
770,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,37.174.034/0001-02,Privada sem fins lucrativos,22131,CENTRO DE ENSINO SUPERIOR DO TOCANTINS,-,4020-7525,www.cesut-to.com.br,ntae@ceuma.br;pesquisador@ceuma.br,Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n - CEP: 77024-002 - Plano Diretor Sul,Palmas,TO,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2018-12-10,3,2018,-,,-,,,,,Ativa
505,ASSOCIACAO PIAUIENSE DE EDUCACAO E CULTURA LTDA - APEC,05.804.208/0001-87,Privada com fins lucrativos,749,CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA (CESVALE),CESVALE,(86) 3230 2402,www.cesvale.com.br,"cesvale@cesvale.com.br, airton@cesvale.com.br",Avenida Ininga - 1201 - CEP: 64048-971 - Jockey Club,Teresina,PI,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,1985-07-10,4,2021,-,,4,2019,,,,Ativa
446,AUTARQUIA BELEMITA DE CULTURA DESPORTOS E EDUCACAO,10.264.877/0001-43,Pessoa Jurídica de Direito Público - Municipal,674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF),CESVASF,(87)38761248,www.cesvasf.com.br,secretaria@cesvasf.com.br,BR 316 - Campus Alto do Encanto - s/n - CEP: 56440-000 - Nova Olinda,Belém de São Francisco,PE,Faculdade,Presencial - Superior,Publica,Especial,1975-03-15,-,,-,,3,2019,,,,Ativa
16439,SOCIEDADE EDUCACIONAL GUAPORE LTDA - ME,21.669.095/0001-00,Privada com fins lucrativos,20534,Centro de Ensino Superior Riograndense Guapore (CESURG Guapore),CESURG Guapore,54 9 84160013,www.cesurg.com.br,sec@cesurg.com.br,Avenida Scalabrini - 40 - CEP: 99200-000 - centro,Guaporé,RS,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2019-10-30,3,2018,-,,-,,,,,Ativa
15927,SOCIEDADE EDUCACIONAL SARANDI LTDA,17.000.211/0001-27,Privada com fins lucrativos,18034,Centro de Ensino Superior Riograndese (CESURG),CESURG,,www.cesurg.com.br,sec@cesurg.com.br,Rodovia Governador Leonel de Moura Brizola - KM 38 - CEP: 99560-000 - Linha Beira Campo,Sarandi,RS,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2016-06-22,3,2015,-,,-,,,,,Ativa
3052,BRASIL EDUCACAO S/A,05.648.257/0001-78,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,23358,Centro de Ensino Superior SOCIESC de Jaraguá do Sul,-,31 33199226,,regulatorio@animaeducacao.com.br,Avenida Getúlio Vargas - 268 - CEP: 89251-000 - Centro,Jaraguá do Sul,SC,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2020-08-21,4,2019,-,,-,,,,,Ativa
14298,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,08.446.503/0001-05,Privada com fins lucrativos,23203,Centro de Ensino Superior SOCIESC de São Bento do Sul,-,,,regulatorio@animaeducacao.com.br,Rua Doutor Hans Dieter Schmidt - 879 - CEP: 89283-105 - Centenário,São Bento do Sul,SC,Faculdade,,Privada,Privada com fins lucrativos,,4,2019,-,,-,,,,"Credenciamento Prévio, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI, Vedação de criação de cursos de especialização Lato Sensu",Ativa
770,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,37.174.034/0001-02,Privada sem fins lucrativos,15508,Centro de Ensino Unificado do Piauí (CEUPI),CEUPI,(86)98884-9776;(86),www.ceupi.com.br,pesquisador@ceuma.br;ntae@ceuma.br;mantenedora@ceuma.br,Rua Durvalino Couto - 1220 - CEP: 64049-120 - Jockey Club,Teresina,PI,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2012-01-04,3,2015,-,,3,2019,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,21414,Centro de Estudos de Pessoal e Forte Duque de Caxias (CEP),CEP,,www.cep.ensino.eb.br,divens_secretaria@cep.ensino.eb.br,Praça Almirante Júlio de Noronha - SN - CEP: 22010-020 - Leme,Rio de Janeiro,RJ,Instituição Especialmente Credenciada para oferta de cursos lato sensu,,Publica,Pública Federal,2000-11-14,-,,-,,-,,,,,Ativa
16400,CEDIN EDUCACIONAL LTDA - ME,07.808.205/0001-47,Privada com fins lucrativos,22629,Centro de Estudos em Direito e Negócios,-,,,,Alameda Ezequiel Dias - 275 - CEP: 30130-110 - Centro,Belo Horizonte,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2019-11-27,4,2018,-,,-,,,,,Ativa
1296,CENTRO EDUCACIONAL APRENDIZ LTDA,03.517.381/0001-79,Privada com fins lucrativos,1977,CENTRO DE ESTUDOS SUPERIORES APRENDIZ (CESA),CESA,(32) 3339 6850,www.aprendiz.edu.br,pi@aprendiz.edu.br,Avenida Bias Fortes - 02 - CEP: 36200-068 - Centro,Barbacena,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2002-01-29,-,,-,,3,2019,,,,Ativa
14298,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,08.446.503/0001-05,Privada com fins lucrativos,23168,Centro de Estudos Superiores de Jataí,-,31 3319-9226,,regulatorio@animaeducacao.com.br,Avenida José de Carvalho - s/nº - CEP: 75805-132 - Setor Epaminondas II,Jataí,GO,Faculdade,,Privada,Privada com fins lucrativos,,4,2019,-,,-,,,,"Credenciamento Prévio, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI, Vedação de criação de cursos de especialização Lato Sensu",Ativa
13234,CAMARA DOS DEPUTADOS,00.530.352/0001-59,Pessoa Jurídica de Direito Público - Federal,17161,"Centro de Formação, Treinamento e Aperfeiçoamento (Cefor)",Cefor,(61)32167500,http://www2.camara.gov.br/responsabilidade-social/edulegislativa,cefor@camara.leg.br,"SGMN Via N3, Projeção L, Complexo Avançado da Câmara dos Deputados - - - CEP: 70160-900 - Plano Piloto",Brasília,DF,Escola de Governo,Escola do Governo,Publica,Pública Federal,2017-05-23,4,2015,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,21416,Centro de Instrução de Aviação do Exército (CIAvEx),CIAvEx,(12)21237750,www.ciavex.ensino.eb.br,ciavex.srp.ch@avex.eb.mil.br,Complexo de Aviação do Exército - CAVEX - 2.135 - CEP: 12086-900 - Granjas Rurais Reunidas São Judas Tadeu,Taubaté,SP,Faculdade,Presencial - Superior,Publica,Pública Federal,2000-11-14,-,,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,21417,Centro de Instrução de Guerra Eletrônica (CIGE),CIGE,,www.ccomgex.eb.mil.br,cigecmt@cige.eb.mil.br,Academia Nacional de Polícia Federal - km 05 - CEP: 71559-90 - Setor Habitacional Taquari (Lago Norte),Brasília,DF,Instituição Especialmente Credenciada para oferta de cursos lato sensu,,Publica,Pública Federal,2000-11-14,-,,-,,-,,,,,Ativa
16981,"CEMEPE - CENTRO DE MEDICINA ESPECIALIZADA, PESQUISA E ENSINO LTDA.",07.111.764/0001-01,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,22685,"Centro de Medicina Especializada, Pesquisa e Ensino (CEMEPE)",CEMEPE,(31)3221-6642 e (31) 99992-1020,www.cemepemg.com.br,cemepe2006@hotmail.com,Rua Edgard Coelho - 100 - CEP: 30220-050 - Serra,Belo Horizonte,MG,Instituição Especialmente Credenciada para oferta de cursos lato sensu,EAD - Lato-sensu / Presencial - Superior,Privada,Privada com fins lucrativos,2017-09-20,-,,-,,-,,,,Sub Judice,Ativa
16655,CENTRO FED DE ED TECNOLOGICA CELSO SUCKOW DA FONSECA RJ,42.441.758/0001-05,Pessoa Jurídica de Direito Público - Federal,593,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA (CEFET/RJ),CEFET/RJ,(21) 2568 8890,www.cefet-rj.br,direg@cefet-rj.br,Avenida Maracanã - 229 - CEP: 20271-110 - Maracanã,Rio de Janeiro,RJ,Centro Federal de Educação Tecnológica,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1978-07-04,3,2011,-,,4,2019,,,,Ativa
16596,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,17.220.203/0001-96,Pessoa Jurídica de Direito Público - Federal,594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS (CEFET/MG),CEFET/MG,(31) 3319 7006,www.cefetmg.br,gabinete@cefetmg.br; isabella@cefetmg.br; annapereira@cefetmg.br; dirgrad@cefetmg.br,Avenida Amazonas - 5253 - CEP: 30480-000 - Nova Suiça,Belo Horizonte,MG,Centro Federal de Educação Tecnológica,Presencial - Superior,Publica,Pública Federal,1978-07-04,5,2020,-,,4,2019,,,,Ativa
179,FUNDACAO PINHALENSE DE ENSINO,54.228.416/0001-90,Privada sem fins lucrativos,1230,CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL (UNIPINHAL),UNIPINHAL,19-3651-9600;3651-9647,www.unipinhal.edu.br,,Avenida Hélio Vergueiro Leite - s/n - CEP: 13990-000 - Jardim Universitário,Espírito Santo do Pinhal,SP,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,1966-10-27,3,2017,3,2019,3,2019,,,,Ativa
76,FUNDACAO EDUCACIONAL DE MACHADO,17.907.031/0001-23,Privada sem fins lucrativos,3972,CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO (CESEP),CESEP,(35) 3295-9501,www.fem.com.br,secretaria@fem.com.br,Av Dr Athayde Pereira de Souza - 730 - CEP: 37750-000 - Centro,Machado,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,1968-02-20,3,2018,-,,3,2019,,,,Ativa
15603,ESCOLA DE EDUCACAO SUPERIOR SAO JOSE,67.973.602/0001-04,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade,17014,CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE (CSEJCDA),CSEJCDA,29421488,www.drummond.com.br,diretoria@drummond.com.br; prof.aureniceleite@drummond.com.br,Rua Comendador Cantinho - 394 - CEP: 03603-020 - Penha de França,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2011-05-10,3,2016,-,,2,2019,,,,Ativa
558,UNIMEO-UNIAO EDUCACIONAL DO MEDIO OESTE PARANAENSE LTDA - EPP,78.669.868/0001-76,Privada com fins lucrativos,810,CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE (CTESOP),CTESOP,(44) 3528 2337,http://www.ctesop.com.br,fabiany@unimeo.com.br; fabricio@unimeo.com.br; fabio@unimeo.com.br; contato@pomini.org,Avenida Brasil - 1441 - CEP: 85935-000 - Jardim Paraná,Assis Chateaubriand,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,1989-11-08,3,2011,3,2019,3,2019,,,,Ativa
1564,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,04.670.333/0001-89,Privada com fins lucrativos,1364,CENTRO UNIVERSIÁRIO UNIFTC,-,(71) 3281-8171,www.ftc.br,lcsilva@ftc.edu.br,Rua Ubaldino Figuera - 200 - CEP: 45020-510 - Exposição,Vitória da Conquista,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,1999-09-06,4,2018,-,,4,2019,,,Adesão ao PROIES,Ativa
1564,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,04.670.333/0001-89,Privada com fins lucrativos,1053,CENTRO UNIVERSIÁRIO UNIFTC DE FEIRA DE SANTANA,-,(75) 3602 7031,www.ftc.br,lcsilva@ftc.edu.br,Avenida Artêmia Pires de Freitas - S/N - CEP: 44085-370 - SIM,Feira de Santana,BA,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,1997-12-22,5,2018,5,2018,4,2019,,,"Adesão ao PROIES, Credenciamento EaD Provisório",Ativa
1564,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,04.670.333/0001-89,Privada com fins lucrativos,1461,CENTRO UNIVERSIÁRIO UNIFTC SALVADOR,-,(71) 3281 8332,www.ftc.br,lcsilva@ftc.edu.br,Avenida Luís Viana - 8812 - CEP: 41730-101 - Paralela,Salvador,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,2000-03-09,5,2018,-,,4,2019,,,Adesão ao PROIES,Ativa
